date,value
2020-03-22,21.779
2020-03-21,195.883
2020-03-20,148.354
2020-03-19,157.329
2020-03-18,268.996
2020-03-17,184.997
2020-03-16,68
2020-03-15,64.245
2020-03-14,65.18
2020-03-13,55.649
2020-03-12,76.629
2020-03-11,39.225
2020-03-10,476.769
2020-03-09,379.063
2020-03-08,82.592
2020-03-07,65.907
2020-03-06,65.438
2020-03-05,315.518
2020-03-04,67.629
2020-03-03,60.523
2020-03-02,123.94
2020-03-01,591.176
2020-02-29,401.526
2020-02-28,357.887
2020-02-27,108.236
2020-02-26,112.499
2020-02-25,77.411
2020-02-24,221.284
2020-02-23,69.219
2020-02-22,400.816
2020-02-21,407.048
2020-02-20,153.573
2020-02-19,327.213
2020-02-18,549.651
2020-02-17,337.413
2020-02-16,69.904
2020-02-15,88.967
2020-02-14,60.583
2020-02-13,72.254
2020-02-12,261.033
2020-02-11,106.93
2020-02-10,324.735
2020-02-09,78.387
2020-02-08,72.564
2020-02-07,85.5
2020-02-06,291.606
2020-02-05,249.749
2020-02-04,262.283
2020-02-03,241.004
2020-02-02,37.388
2020-02-01,69.055
2020-01-31,199.018
2020-01-30,504.66
2020-01-29,186.462
2020-01-28,217.267
2020-01-27,160.429
2020-01-26,235.901
2020-01-25,203.832
2020-01-24,254.79
2020-01-23,454.303
2020-01-22,239.203
2020-01-21,287.371
2020-01-20,125.901
2020-01-19,57.959
2020-01-18,266.324
2020-01-17,201.274
2020-01-16,200.084
2020-01-15,187.113
2020-01-14,143.35
2020-01-13,279.049
2020-01-12,36.245
2020-01-11,202.435
2020-01-10,349.063
2020-01-09,371.751
2020-01-08,172.75
2020-01-07,283.818
2020-01-06,40.562
2020-01-05,266.323
2020-01-04,164.566
2020-01-03,221.686
2020-01-02,67.655
2020-01-01,205.853
2019-12-31,199.334
2019-12-30,330.895
2019-12-29,585.276
2019-12-28,266.366
